Keyword,Name,Layers,UValue (W/m2K),Trans Light (VT),Trans Total (SHGC),Trans Direct Solar,Cost per surface area (EGP/m2),,,,,,,,,,,
GLAZING ,Project internal glazing,3,2.178,0.738,0.682,0.595,1609.85,,,,,,,,,,,
GLAZING ,SageGlass Climatop Blue No Tint,3,0.687,0.357,0.248,0.192,946.97,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Building Data,,,,,,,,,,,,,,,,,,
Building number of zones:,312,,,,,,,,,,,,,,,,,
Building heated/cooled floor area (m2),17948.18,,,,,,,,,,,,,,,,,
Building volume (m3),97074.29,,,,,,,,,,,,,,,,,
Building external area (m2),30155.8,,,,,,,,,,,,,,,,,
Building area-weighted average U-value (W/m2K),1.137,,,,,,,,,,,,,,,,,
Building external surface area/Volume (m-1),0.311,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Activity Area Summary,,,,,,,,,,,,,,,,,,
Activity,Area (m2),,,,,,,,,,,,,,,,,
Generic Office Area,17948.18,,,,,,,,,,,,,,,,,
Total,17948.18,,,,,,,,,,,,,,,,,
,Wall,Outside,10.502,Best wall,1.774,18.6315,143.164,1503.508,0.04,0.13,180,90,TRUE,1394.456,,1425.331,,"3,978"
,Partition,Ground Floor - Zone 4,38.645,Project partition,1.639,63.3525,22.5,869.5126,0.13,0.13,180,90,TRUE,104.342,,113.037,,"14,638"
,Partition,Ground Floor - Zone 91,100.3,Project partition,1.639,164.4262,22.5,2256.75,0.13,0.13,270,90,TRUE,270.81,,293.378,,"37,992"
,Partition,Ground Floor - Zone 22,30.975,Project partition,1.639,50.7787,22.5,696.9376,0.13,0.13,270,90,TRUE,83.633,,90.602,,"11,733"
,Wall,Outside,53.888,Best wall,1.774,95.6021,143.164,7714.822,0.04,0.13,0,90,TRUE,7155.249,,7313.68,,"20,412"
,Wall,Outside,7.576,Best wall,1.774,13.4405,143.164,1084.61,0.04,0.13,270,90,TRUE,1005.941,,1028.215,,"2,870"
,Ground floor,Ground,235.78,Project ground floor,0.25,58.9301,93.96,22153.89,0.01,0.17,0,180,TRUE,9613.236,,9703.017,,"100,474"
,Glazing,Outside,47.557,SageGlass Climatop Blue No Tint,0.687,32.6717,0,0,0.061,0.293,90,90,FALSE,2418.749,**,2418.749,**,0
,Glazing,Outside,0.708,SageGlass Climatop Blue No Tint,0.687,0.4864,0,0,0.061,0.293,180,90,FALSE,36.009,**,36.009,**,0
,Glazing,Outside,16.912,SageGlass Climatop Blue No Tint,0.687,11.6185,0,0,0.061,0.293,0,90,FALSE,860.144,**,860.144,**,0
,Glazing,Outside,1.274,SageGlass Climatop Blue No Tint,0.687,0.8752,0,0,0.061,0.293,270,90,FALSE,64.796,**,64.796,**,0
,,,,,,,,,,,,,,37335.6,,37952.1,,35435.9
Zone,Activity,Floor area (m2),Volume (m3),Heated?,Heating SetPoint Temperature (C),Cooled?,Cooling SetPoint Temperature (C),,,,,,,,,,,
Ground Floor - Zone 4,Generic Office Area,16.651,98.241,TRUE,22,TRUE,24,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
